period,components,amount
Q1_22,yVault,7279
Q1_22,Yield Farming,548
Q1_22,Strategist fees,-1803
Q1_22,Yearn partners,-56
Q1_22,Gas costs,-208
Q1_22,Token-based compensation,-6704
Q1_22,Admin salaries,-347
Q1_22,Other expenses,-11719
Q2_22,yVault,26927
Q2_22,Yield Farming,868
Q2_22,Strategist fees,-8510
Q2_22,Yearn partners,-750
Q2_22,Gas costs,-607
Q2_22,Token-based compensation,-6966
Q2_22,Admin salaries,-806
Q2_22,Other expenses,-1178
Q3_22,yVault,20477
Q3_22,Yield Farming,266
Q3_22,Strategist fees,-5331
Q3_22,Yearn partners,-781
Q3_22,Gas costs,-497
Q3_22,Token-based compensation,-7300
Q3_22,Admin salaries,-898
Q3_22,Other expenses,-1660
Q4_22,yVault,23512
Q4_22,Yield Farming,489
Q4_22,Strategist fees,-5781
Q4_22,Yearn partners,-1835
Q4_22,Gas costs,-741
Q4_22,Token-based compensation,-7856
Q4_22,Admin salaries,-958
Q4_22,Other expenses,-2651